X,STATE,cases,deaths,REGION,DIVISION,POPULATION,LAND AREA,DENSITY,PropAGE1,PropAGE2,PropAGE3,PropAGE4,PerCap Income 2019,CrudeMortRate,Percent Uninsured,HospCount,BedsPer1000,GOVERNOR PARTY,GOVSTART,GOVEND,GOVTERM LIMIT,Date of First Case,Stay At Home Date,Days Between,SAH7DY,SAH14DY,SAH21DY,SAH28DY,SAH35DY,SAH42DY,SAH49DY,SAH56DY,SAH63DY,SAH70DY,Stay At Home Order,Mandatory Quarantine for Travelers,Non-Essential Business Closures,Large Gatherings Ban,School Closures,Bar/Restaurant Limits,SMI_before,SMI_after,SMI_reduction,num_users,num_records
1,Alabama,3805,104,3,6,4858979,50744,95.8,0.267025627,0.262080165,0.275502873,0.195391335,43880,1078.8,10,130,3.1,Republican,2017,2023,No,3/13/20,4/4/20,22,0,0,0,1,1,1,1,1,1,1,Statewide,No Requirement,All Non-Essential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,37.46127615,23.62552162,0.369334843,42595,5334231
2,Alaska,275,6,4,9,738432,571951,1.3,0.292637184,0.286353313,0.293056766,0.127952737,62102,605.7,12.6,32,2.2,Republican,2018,2022,No,3/12/20,3/28/20,16,0,0,1,1,1,1,1,1,1,1,Statewide,All Travelers,All Non-Essential Businesses,All Gatherings Prohibited,Yes,Closed except for takeout/delivery,84.74537514,31.4878807,0.628441308,5583,549569
3,Arizona,3702,122,4,8,6828065,113635,60.1,0.284673993,0.268298723,0.254163123,0.192864162,46233,817.3,10.6,135,1.9,Republican,2015,2023,Yes,1/26/20,3/31/20,65,0,0,0,0,0,0,0,0,0,1,Statewide,From Certain States,All Non-Essential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,47.29756401,25.36791669,0.463652786,73628,7659026
4,Arkansas,1475,30,3,7,2978204,52068,57.2,0.272960351,0.260348885,0.265377833,0.201312931,44845,1062.7,8.2,112,3.2,Republican,2015,2023,Yes,3/11/20,NA,NA,0,0,0,0,0,0,0,0,0,0,Not Statewide,No Requirement,NA,>10 People Prohibited,Yes,Closed except for takeout/delivery,39.1875312,22.33509717,0.430045821,21770,2288874
5,California,24334,725,4,9,39144818,155959,251,0.280561935,0.286074451,0.27019407,0.163169544,66661,668.1,7.2,546,1.8,Democrat,2019,2023,No,1/25/20,3/19/20,54,0,0,0,0,0,0,0,1,1,1,Statewide,No Requirement,All Non-Essential Businesses,All Gatherings Prohibited,Yes,Closed except for takeout/delivery,59.46756909,28.63715168,0.518440856,518246,56934302
6,Colorado,7691,308,4,8,5456574,103718,52.6,0.27135391,0.284041028,0.28177486,0.162830202,61348,677.4,7.5,113,1.9,Democrat,2019,2023,No,3/5/20,3/26/20,21,0,0,1,1,1,1,1,1,1,1,Statewide,No Requirement,All Non-Essential Businesses,All Gatherings Prohibited,Yes,Closed except for takeout/delivery,54.20592832,23.82390566,0.560492618,52355,5022704
7,Connecticut,13381,602,1,1,3590886,4845,741.2,0.256225838,0.243607266,0.301556169,0.198610726,79087,854,5.3,41,2,Democrat,2019,2023,No,3/8/20,3/23/20,15,0,0,1,1,1,1,1,1,1,1,Statewide,No Requirement,All Non-Essential Businesses,>5 People Prohibited,Yes,Closed except for takeout/delivery,34.15733408,15.35262295,0.550532166,27952,3316480
8,Delaware,1761,41,3,5,945934,1954,484.1,0.260378825,0.255712558,0.280786784,0.203121833,54264,932.1,5.7,15,2.2,Democrat,2017,2021,No,3/11/20,3/24/20,13,0,1,1,1,1,1,1,1,1,1,Statewide,All Travelers,All Non-Essential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,33.3826642,17.39328563,0.478972513,8365,1211821
9,Florida,21011,498,3,5,20271272,53927,375.9,0.240035934,0.249810784,0.276400847,0.233752435,51989,957.3,13,342,2.6,Republican,2019,2023,No,3/1/20,4/2/20,32,0,0,0,0,1,1,1,1,1,1,Statewide,From Certain States,All Non-Essential Businesses,Other,Yes,Closed except for takeout/delivery,59.28613464,34.6095287,0.416228956,235634,25456177
10,Georgia,13125,479,3,5,10214860,57906,176.4,0.287131362,0.280119344,0.275018521,0.157730773,48199,789.8,13.7,192,2.4,Republican,2019,2023,No,3/2/20,4/3/20,32,0,0,0,0,1,1,1,1,1,1,Statewide,No Requirement,Not All Non-Essential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,51.43444356,29.45749429,0.427280782,124987,17451541
